_date,total_views,unique_views
2022-03-16,4,2
2022-10-12,3,1
2022-12-27,8,1
2023-01-09,3,1
2023-04-15,6,2
2023-07-12,9,1
2023-08-09,21,1
2023-10-25,5,2
2023-12-12,5,1
2024-02-22,3,2
2024-06-01,1,1
2025-07-15,1,1
2025-07-16,4,4
2025-07-21,2,2
2025-07-28,1,1
2025-08-03,1,1
2025-09-10,1,1
2025-09-11,1,1
2025-10-07,5,5
2025-10-15,1,1
2025-10-20,1,1
2025-11-09,1,1
2025-12-06,1,1
2025-12-14,0,0
2025-12-15,0,0
2025-12-16,0,0
2025-12-17,0,0
2025-12-18,0,0
2025-12-19,0,0
2025-12-20,0,0
2025-12-21,0,0
2025-12-22,0,0
2025-12-23,0,0
2025-12-24,0,0
2025-12-25,0,0
2025-12-26,0,0
2025-12-27,0,0
2025-12-28,0,0
2025-12-29,0,0
2025-12-30,0,0
2025-12-31,0,0
2026-01-01,0,0
2026-01-02,0,0
2026-01-03,0,0
